pipeline,hit_rate@k,mrr,precision@k,ndcg@k,k
agentic+bm25,0.580000,0.402333,0.236000,0.741553,5
agentic+hyde,0.420000,0.319000,0.188000,0.597501,5
agentic+traditional,0.500000,0.425000,0.216000,0.724016,5
fixed+bm25,0.560000,0.411333,0.204000,0.674882,5
fixed+hyde,0.440000,0.291000,0.208000,0.610794,5
fixed+traditional,0.500000,0.365000,0.236000,0.717027,5
semantic+bm25,0.560000,0.451333,0.264000,0.855913,5
semantic+hyde,0.480000,0.360667,0.244000,0.745640,5
semantic+traditional,0.540000,0.404000,0.252000,0.775877,5
